Genome	bases	meanlen	medianlen	N50	maxlen	Cov	Perc	Expected	FoldChange	CellType
sc	197257059	3160.86688779925	2653	3852	45706	16.225660549941782	1.4091907996697834	2	-1.4192542276522535	yeast
cn	509931986	2849.6417131425123	2556	3530	34494	26.76538283119152	3.6429188733293483	2	1.8214594366646741	yeast
lm	1116874784	3439.3421836266493	2759	4279	58786	378.3701104917161	7.978876284452648	12	-1.5039711824311364	grampos
ec	1167255600	4780.0926324065995	3487	7073	53399	227.50119036783389	8.338793352804844	12	-1.4390571264083034	gramneg
bs	1214835689	3828.8469010511058	2952	4924	53429	300.2799504260968	8.678702220990237	12	-1.382695211154601	grampos
pa	1387805874	5452.254178158075	4078	7942	60442	204.3495546456049	9.91438927094864	12	-1.2103619973004955	gramneg
se	1388134142	4321.793501746608	2845	7028	66415	287.2939241965033	9.91673439485838	12	-1.2100757691182844	gramneg
ef	1841390741	3038.127321834567	2564	3805	40884	572.2103798875772	13.154768219546076	12	1.096230684962173	grampos
sa	1920414043	2956.7348103555787	2494	3768	54577	690.160378456976	13.71930522877892	12	1.1432754357315766	grampos
lf	3253995828	1687.0046701160275	1186	NA	48432	1550.4927266359648	23.246321354621124	12	1.937193446218427	grampos
