Genome	bases	meanlen	medianlen	N50	maxlen	Cov	Perc	Expected	FoldChange	CellType
cn	2002528857	3763.5153019226077	3412	4530	37274	105.10902033926025	1.7647037442579652	2	-1.1333347064671038	yeast
sc	2117173483	3400.39362795643	3067	4168	38559	174.15112257400096	1.8657329004941163	2	-1.0719648023949864	yeast
lf	10350626872	2664.6559486192805	2121	3722	33133	4931.95828435425	9.121361688539958	12	-1.3155930451784137	grampos
pa	11575766371	6824.891293017554	5477	9373	54314	1704.4910580883018	10.201000692775104	12	-1.1763551793991196	gramneg
ec	11688201864	6317.981104762727	4963	8702	53691	2278.0613237747884	10.300083077925766	12	-1.1650391466955587	gramneg
se	11761233457	6277.4822981288535	4896	8937	52373	2434.1530195233368	10.364441264408681	12	-1.1578048149308156	gramneg
sa	12577307588	3726.9696533650344	3268	4574	44519	4520.045766455518	11.083596481340352	12	-1.082681061170212	grampos
ef	13664095075	3810.869905046858	3361	4559	50487	4246.104240450139	12.041314489157106	12	1.0034428740964254	grampos
lm	16198957025	3810.0831227852464	3449	4567	49127	5487.814074777974	14.275130176109801	12	1.1895941813424835	grampos
bs	21540882125	3704.4311927504796	3383	4396	45659	5324.419652137331	18.98263548499115	12	1.5818862904159292	grampos
